File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
1d83dd13-42ee-44f5-807f-186db5757ac1	966ad64a-5a6d-4219-ac8e-adbfb9a79cad.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-4N-A93T	TCGA-4N-A93T-01A	Primary Tumor
7e2a5bb7-93e6-4ef5-b1cb-b7685100810b	464cbc87-fa59-4fc9-8617-b697f3f29b02.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3511	TCGA-AA-3511-01A	Primary Tumor
a55d8e19-909e-4084-9d23-cf00c5ffee47	161caa2d-589a-4834-9073-3824031da5e6.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A00K	TCGA-AA-A00K-01A	Primary Tumor
3a3f07af-9d7a-42f4-b751-84523037131d	21981535-9a4b-44ca-a3c0-3f52f4c0d29b.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2671	TCGA-A6-2671-11A	Solid Tissue Normal
6bd742c8-a249-42de-9be8-c91a782b4031	eb799eef-5506-4935-9649-c543a1d1bbd5.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6307	TCGA-G4-6307-01A	Primary Tumor
e7701f3c-3693-4ad4-ba15-c1f2defcaede	d334512c-d092-459a-aab7-a3a0e281d9d4.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2683	TCGA-A6-2683-01A	Primary Tumor
de1d627b-b1f9-45bf-8485-17226ae8a79d	7c12c6da-5e8a-4cd1-972f-e76178e09b7d.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-DM-A285	TCGA-DM-A285-01A	Primary Tumor
6bf6c1a6-b481-4b07-a51f-0b4397efff64	c419c0fe-74c5-44b1-89ed-887c2c3cfded.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CM-5864	TCGA-CM-5864-01A	Primary Tumor
ee39b41c-3969-4d71-b1f9-dfcce52d36f9	3381f3a8-9040-4ea7-bb84-76a043f5d6b0.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6320	TCGA-G4-6320-01A	Primary Tumor
8a9e8c7a-27e4-4703-8e4b-e60c632e81eb	3793cde5-8027-46ad-9003-6a9a43076764.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3655	TCGA-AA-3655-11A	Solid Tissue Normal
9ffa7199-25aa-4a53-916f-8413437a1277	773c7ef0-9536-455e-a3bb-3bc8d835af01.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-5666	TCGA-A6-5666-01A	Primary Tumor
