Term_ID	DB
R-HSA-5218921	Reactome
R-HSA-5684996	Reactome
R-HSA-9703648	Reactome
R-HSA-1236382	Reactome
R-HSA-5654719	Reactome
R-HSA-5655253	Reactome
R-HSA-2428924	Reactome
R-HSA-9671555	Reactome
R-HSA-1963640	Reactome
R-HSA-8939211	Reactome
R-HSA-9009391	Reactome
R-HSA-9673767	Reactome
R-HSA-5637812	Reactome
R-HSA-73857	Reactome
R-HSA-2454202	Reactome
R-HSA-3700989	Reactome
R-HSA-5654743	Reactome
R-HSA-9607240	Reactome
R-HSA-162582	Reactome
R-HSA-5654687	Reactome
R-HSA-5654736	Reactome
R-HSA-2428928	Reactome
R-HSA-9673770	Reactome
R-HSA-9664565	Reactome
R-HSA-8939243	Reactome
R-HSA-389357	Reactome
R-HSA-9701192	Reactome
R-HSA-109704	Reactome
R-HSA-9634635	Reactome
R-HSA-5655302	Reactome
R-HSA-5655332	Reactome
R-HSA-74752	Reactome
R-HSA-5663202	Reactome
R-HSA-2172127	Reactome
R-HSA-9753512	Reactome
R-HSA-2219528	Reactome
R-HSA-5683057	Reactome
R-HSA-5654712	Reactome
R-HSA-6806003	Reactome
R-HSA-5637810	Reactome
R-HSA-1227986	Reactome
R-HSA-9006931	Reactome
R-HSA-5654738	Reactome
R-HSA-9675136	Reactome
R-HSA-1257604	Reactome
R-HSA-8848021	Reactome
R-HSA-5633007	Reactome
R-HSA-1227990	Reactome
R-HSA-186763	Reactome
R-HSA-5655291	Reactome
R-HSA-9670439	Reactome
R-HSA-5654704	Reactome
R-HSA-9006927	Reactome
R-HSA-5654693	Reactome
R-HSA-1226099	Reactome
R-HSA-112399	Reactome
R-HSA-9701193	Reactome
R-HSA-194138	Reactome
R-HSA-9006934	Reactome
R-HSA-9634285	Reactome
R-HSA-4420097	Reactome
R-HSA-212436	Reactome
R-HSA-74751	Reactome
R-HSA-9665348	Reactome
R-HSA-199418	Reactome
R-HSA-5654706	Reactome
R-HSA-1643685	Reactome
R-HSA-5654689	Reactome
R-HSA-1169092	Reactome
R-HSA-190236	Reactome
R-HSA-6804757	Reactome
R-HSA-210993	Reactome
R-HSA-5654716	Reactome
R-HSA-74160	Reactome
R-HSA-9753510	Reactome
R-HSA-5654708	Reactome
R-HSA-5654688	Reactome
R-HSA-9013694	Reactome
R-HSA-9006925	Reactome
R-HSA-2219530	Reactome
R-HSA-166520	Reactome
R-HSA-5693532	Reactome
R-HSA-9669938	Reactome
R-HSA-5654741	Reactome
R-HSA-9665686	Reactome
R-HSA-1250347	Reactome
R-HSA-6811558	Reactome
R-HSA-2404192	Reactome
R-HSA-187037	Reactome
R-HSA-9703465	Reactome
R-HSA-9704646	Reactome
R-HSA-1236394	Reactome
R-HSA-5654696	Reactome
R-HSA-5673001	Reactome
R-HSA-5654700	Reactome
R-HSA-5621575	Reactome
R-HSA-9704331	Reactome
R-HSA-9649913	Reactome
R-HSA-5637815	Reactome
R-HSA-5654699	Reactome
R-HSA-2424491	Reactome
GO:0006338	GO
GO:0046777	GO
GO:0014065	GO
GO:0045893	GO
GO:0008284	GO
GO:0008285	GO
GO:0051897	GO
GO:0043627	GO
GO:0007165	GO
GO:0010863	GO
GO:0001934	GO
GO:0009887	GO
GO:0000165	GO
GO:0007050	GO
GO:0010628	GO
path:hsa01524	KEGG
path:hsa05417	KEGG
path:hsa05200	KEGG
path:hsa04015	KEGG
path:hsa05161	KEGG
path:hsa05222	KEGG
path:hsa05203	KEGG
path:hsa04218	KEGG
path:hsa04919	KEGG
path:hsa04935	KEGG
path:hsa05206	KEGG
path:hsa05210	KEGG
path:hsa05211	KEGG
path:hsa05166	KEGG
path:hsa04725	KEGG
path:hsa04140	KEGG
path:hsa04210	KEGG
path:hsa05220	KEGG
path:hsa05169	KEGG
path:hsa04933	KEGG
path:hsa04625	KEGG
path:hsa05167	KEGG
path:hsa04370	KEGG
path:hsa04150	KEGG
path:hsa05226	KEGG
path:hsa05230	KEGG
path:hsa05216	KEGG
path:hsa05214	KEGG
path:hsa05231	KEGG
path:hsa04722	KEGG
path:hsa05160	KEGG
path:hsa04213	KEGG
path:hsa05165	KEGG
path:hsa05223	KEGG
path:hsa04662	KEGG
path:hsa04910	KEGG
path:hsa01521	KEGG
path:hsa04066	KEGG
path:hsa04068	KEGG
path:hsa05215	KEGG
path:hsa04660	KEGG
path:hsa05221	KEGG
path:hsa04012	KEGG
path:hsa04010	KEGG
path:hsa05163	KEGG
path:hsa05212	KEGG
path:hsa04917	KEGG
path:hsa04810	KEGG
path:hsa04915	KEGG
path:hsa05235	KEGG
path:hsa04929	KEGG
path:hsa05205	KEGG
path:hsa01522	KEGG
path:hsa05213	KEGG
path:hsa04510	KEGG
path:hsa04151	KEGG
path:hsa05218	KEGG
path:hsa04926	KEGG
path:hsa04550	KEGG
path:hsa04211	KEGG
path:hsa04664	KEGG
path:hsa05225	KEGG
path:hsa05219	KEGG
path:hsa04071	KEGG
path:hsa04014	KEGG
path:hsa05208	KEGG
path:hsa05207	KEGG
path:hsa05224	KEGG
