Term_ID	DB
R-HSA-5626978	Reactome
R-HSA-1369062	Reactome
R-HSA-6785807	Reactome
R-HSA-382556	Reactome
R-HSA-5357786	Reactome
GO:0045429	GO
GO:0050995	GO
GO:2001240	GO
GO:0051000	GO
GO:0043122	GO
GO:2001234	GO
GO:0050806	GO
GO:0043154	GO
GO:0048661	GO
GO:0051091	GO
GO:0070886	GO
GO:2000343	GO
GO:0060559	GO
GO:0061048	GO
GO:0150078	GO
GO:1903347	GO
GO:2000010	GO
GO:0008284	GO
GO:0006919	GO
GO:0019221	GO
GO:0061044	GO
GO:0071803	GO
GO:0071407	GO
GO:0050807	GO
GO:0043243	GO
GO:0043537	GO
GO:0031663	GO
GO:0048143	GO
GO:0070374	GO
GO:0043525	GO
GO:1903078	GO
GO:0010888	GO
GO:0045732	GO
GO:2001238	GO
GO:2000334	GO
GO:0031334	GO
GO:0043068	GO
GO:0009651	GO
GO:0002439	GO
GO:0032757	GO
GO:0150129	GO
GO:0071550	GO
GO:0097191	GO
GO:0030866	GO
GO:0014068	GO
GO:0050768	GO
GO:0045672	GO
GO:0010573	GO
GO:0008285	GO
GO:0032722	GO
GO:0050901	GO
GO:0002719	GO
GO:0050679	GO
GO:0071716	GO
GO:1903721	GO
GO:1900017	GO
GO:0000122	GO
GO:0045944	GO
GO:0048566	GO
GO:0006869	GO
GO:0010803	GO
GO:0045892	GO
GO:0060557	GO
GO:0031622	GO
GO:2000272	GO
GO:1904996	GO
GO:2000351	GO
GO:0046427	GO
GO:0051966	GO
GO:0043491	GO
GO:0007249	GO
GO:0071316	GO
GO:0043242	GO
GO:1904999	GO
GO:0042493	GO
GO:1901647	GO
GO:0060252	GO
GO:0050766	GO
GO:0043280	GO
GO:1903799	GO
GO:1902895	GO
GO:0097527	GO
GO:0043507	GO
GO:0043065	GO
GO:1903140	GO
GO:0046851	GO
GO:0001934	GO
GO:0045599	GO
GO:0051384	GO
GO:0032724	GO
GO:0042908	GO
GO:0051044	GO
GO:0045598	GO
GO:0055085	GO
GO:0050729	GO
GO:2000304	GO
GO:0032731	GO
GO:0010628	GO
GO:0045893	GO
GO:0140115	GO
GO:0071677	GO
GO:0000185	GO
GO:0051222	GO
GO:0051897	GO
GO:0045766	GO
GO:1901671	GO
GO:1901224	GO
GO:0030178	GO
GO:0034116	GO
GO:0070633	GO
GO:1902004	GO
GO:0008625	GO
GO:0010629	GO
GO:0035509	GO
GO:0030730	GO
GO:1900222	GO
GO:0033138	GO
GO:0042531	GO
GO:0032715	GO
GO:0051173	GO
path:hsa05144	KEGG
path:hsa04071	KEGG
path:hsa05161	KEGG
path:hsa04664	KEGG
path:hsa02010	KEGG
path:hsa05142	KEGG
path:hsa05418	KEGG
path:hsa05200	KEGG
path:hsa04936	KEGG
path:hsa04933	KEGG
path:hsa05132	KEGG
path:hsa05225	KEGG
path:hsa05226	KEGG
path:hsa05134	KEGG
path:hsa05210	KEGG
path:hsa05216	KEGG
path:hsa05417	KEGG
path:hsa04620	KEGG
path:hsa04310	KEGG
path:hsa05205	KEGG
path:hsa04210	KEGG
path:hsa04350	KEGG
path:hsa04930	KEGG
path:hsa05213	KEGG
path:hsa05170	KEGG
path:hsa04550	KEGG
path:hsa05219	KEGG
path:hsa01524	KEGG
path:hsa05163	KEGG
path:hsa04625	KEGG
path:hsa05206	KEGG
path:hsa05160	KEGG
path:hsa05146	KEGG
path:hsa01523	KEGG
