Term_ID	DB
R-HSA-5654696	Reactome
R-HSA-5655253	Reactome
R-HSA-1643685	Reactome
R-HSA-9665686	Reactome
R-HSA-8848021	Reactome
R-HSA-6802946	Reactome
R-HSA-9703648	Reactome
R-HSA-5654743	Reactome
R-HSA-8849471	Reactome
R-HSA-180336	Reactome
R-HSA-9649913	Reactome
R-HSA-5675221	Reactome
R-HSA-6802948	Reactome
R-HSA-9665348	Reactome
R-HSA-5654708	Reactome
R-HSA-9006927	Reactome
R-HSA-187687	Reactome
R-HSA-9753512	Reactome
R-HSA-1643713	Reactome
R-HSA-9009391	Reactome
R-HSA-186763	Reactome
R-HSA-1227990	Reactome
R-HSA-5673000	Reactome
R-HSA-9664565	Reactome
R-HSA-6802952	Reactome
R-HSA-166520	Reactome
R-HSA-9703465	Reactome
R-HSA-5637812	Reactome
R-HSA-5637815	Reactome
R-HSA-5654704	Reactome
R-HSA-9607240	Reactome
R-HSA-6802955	Reactome
R-HSA-5637810	Reactome
R-HSA-2179392	Reactome
R-HSA-5654706	Reactome
R-HSA-9649948	Reactome
R-HSA-9753510	Reactome
R-HSA-1963640	Reactome
R-HSA-171007	Reactome
R-HSA-9671555	Reactome
R-HSA-210993	Reactome
R-HSA-9673770	Reactome
R-HSA-5654719	Reactome
R-HSA-9673767	Reactome
R-HSA-5218921	Reactome
R-HSA-167044	Reactome
R-HSA-5655332	Reactome
R-HSA-5655291	Reactome
R-HSA-9006934	Reactome
R-HSA-5663202	Reactome
R-HSA-194138	Reactome
R-HSA-881907	Reactome
R-HSA-5621575	Reactome
R-HSA-5674135	Reactome
R-HSA-1226099	Reactome
R-HSA-190236	Reactome
R-HSA-9634285	Reactome
R-HSA-9670439	Reactome
R-HSA-9669938	Reactome
R-HSA-1227986	Reactome
R-HSA-9656223	Reactome
R-HSA-4420097	Reactome
R-HSA-6802949	Reactome
R-HSA-1236382	Reactome
R-HSA-187037	Reactome
R-HSA-179812	Reactome
R-HSA-5654741	Reactome
R-HSA-5654716	Reactome
GO:0043410	GO
GO:0046777	GO
GO:0000165	GO
GO:0006096	GO
GO:0035924	GO
GO:0007275	GO
GO:0018108	GO
GO:0007169	GO
GO:0071480	GO
GO:0018105	GO
GO:0033674	GO
GO:0006468	GO
path:hsa04660	KEGG
path:hsa04910	KEGG
path:hsa04720	KEGG
path:hsa05220	KEGG
path:hsa04550	KEGG
path:hsa05225	KEGG
path:hsa05214	KEGG
path:hsa04151	KEGG
path:hsa05206	KEGG
path:hsa04664	KEGG
path:hsa01521	KEGG
path:hsa04014	KEGG
path:hsa04917	KEGG
path:hsa05205	KEGG
path:hsa04010	KEGG
path:hsa05223	KEGG
path:hsa05200	KEGG
path:hsa05230	KEGG
path:hsa04935	KEGG
path:hsa04810	KEGG
path:hsa04370	KEGG
path:hsa05221	KEGG
path:hsa05226	KEGG
path:hsa04012	KEGG
path:hsa05235	KEGG
path:hsa05208	KEGG
path:hsa05216	KEGG
path:hsa04066	KEGG
path:hsa05161	KEGG
path:hsa04015	KEGG
path:hsa05224	KEGG
path:hsa04068	KEGG
path:hsa05218	KEGG
path:hsa04722	KEGG
path:hsa05219	KEGG
path:hsa01522	KEGG
path:hsa05213	KEGG
path:hsa05211	KEGG
path:hsa05215	KEGG
path:hsa05210	KEGG
path:hsa05160	KEGG
