Term_ID	DB
R-HSA-5637812	Reactome
R-HSA-9673767	Reactome
R-HSA-9634635	Reactome
R-HSA-168256	Reactome
R-HSA-5637815	Reactome
R-HSA-186797	Reactome
R-HSA-9682385	Reactome
R-HSA-5673000	Reactome
R-HSA-9673770	Reactome
R-HSA-1236382	Reactome
R-HSA-1227990	Reactome
R-HSA-8848021	Reactome
R-HSA-6785807	Reactome
R-HSA-171007	Reactome
R-HSA-2424491	Reactome
R-HSA-1643713	Reactome
R-HSA-2179392	Reactome
R-HSA-5684996	Reactome
R-HSA-5654716	Reactome
R-HSA-5655291	Reactome
R-HSA-9703648	Reactome
R-HSA-9009391	Reactome
R-HSA-9649913	Reactome
R-HSA-167044	Reactome
R-HSA-9665348	Reactome
R-HSA-9664565	Reactome
R-HSA-5655253	Reactome
R-HSA-5357905	Reactome
R-HSA-1433557	Reactome
R-HSA-449147	Reactome
R-HSA-8849471	Reactome
R-HSA-9753512	Reactome
R-HSA-5654738	Reactome
R-HSA-8851805	Reactome
R-HSA-1963640	Reactome
R-HSA-179812	Reactome
R-HSA-1250347	Reactome
R-HSA-210993	Reactome
R-HSA-1169092	Reactome
R-HSA-5654687	Reactome
R-HSA-6802948	Reactome
R-HSA-9607240	Reactome
R-HSA-5654708	Reactome
R-HSA-5654704	Reactome
R-HSA-75893	Reactome
R-HSA-9703465	Reactome
R-HSA-5655332	Reactome
R-HSA-9669938	Reactome
R-HSA-6783783	Reactome
R-HSA-5654741	Reactome
R-HSA-9656223	Reactome
R-HSA-5674135	Reactome
R-HSA-9634285	Reactome
R-HSA-5626978	Reactome
R-HSA-187687	Reactome
R-HSA-5637810	Reactome
R-HSA-9670439	Reactome
R-HSA-9671555	Reactome
R-HSA-5654696	Reactome
R-HSA-5654736	Reactome
R-HSA-1643685	Reactome
R-HSA-186763	Reactome
R-HSA-5357956	Reactome
R-HSA-5654743	Reactome
R-HSA-180336	Reactome
R-HSA-5655302	Reactome
R-HSA-6802953	Reactome
R-HSA-9006927	Reactome
R-HSA-5218921	Reactome
R-HSA-162582	Reactome
R-HSA-5663202	Reactome
R-HSA-1280215	Reactome
R-HSA-9753510	Reactome
R-HSA-5357786	Reactome
GO:0043491	GO
GO:0002719	GO
GO:0051000	GO
GO:0048566	GO
GO:0043242	GO
GO:0051173	GO
GO:0034116	GO
GO:0045071	GO
GO:1903347	GO
GO:0001819	GO
GO:0042531	GO
GO:0045892	GO
GO:0050729	GO
GO:0050995	GO
GO:2001240	GO
GO:0150078	GO
GO:1903799	GO
GO:2001234	GO
GO:0032731	GO
GO:0046427	GO
GO:0051966	GO
GO:1903078	GO
GO:0045598	GO
GO:0071407	GO
GO:0006954	GO
GO:0030730	GO
GO:0061044	GO
GO:0045672	GO
GO:0035509	GO
GO:0050901	GO
GO:0070374	GO
GO:0060557	GO
GO:1903140	GO
GO:1902004	GO
GO:0045429	GO
GO:1900017	GO
GO:0072659	GO
GO:0008284	GO
GO:0032724	GO
GO:1904999	GO
GO:0032755	GO
GO:0050890	GO
GO:0043537	GO
GO:0010573	GO
GO:0032722	GO
GO:1901671	GO
GO:0050768	GO
GO:1902895	GO
GO:0019221	GO
GO:2000272	GO
GO:0006919	GO
GO:0045860	GO
GO:0043065	GO
GO:0033209	GO
GO:0007249	GO
GO:0010628	GO
GO:0050796	GO
GO:0045944	GO
GO:1901224	GO
GO:0150129	GO
GO:0071803	GO
GO:0071316	GO
GO:0000187	GO
GO:0006935	GO
GO:0043280	GO
GO:0045893	GO
GO:0050807	GO
GO:0060559	GO
GO:0045599	GO
GO:0008285	GO
