u	v
ENSG00000135424	ENSG00000138435
ENSG00000141738	ENSG00000141736
ENSG00000149269	ENSG00000141736
ENSG00000132535	ENSG00000141736
ENSG00000105647	ENSG00000141736
ENSG00000072135	ENSG00000141736
ENSG00000108854	ENSG00000100852
ENSG00000186575	ENSG00000141736
ENSG00000085117	ENSG00000141736
ENSG00000116285	ENSG00000141736
ENSG00000137673	ENSG00000026508
ENSG00000100151	ENSG00000141736
ENSG00000196781	ENSG00000176165
ENSG00000170365	ENSG00000176165
ENSG00000117139	ENSG00000176165
ENSG00000108854	ENSG00000153071
ENSG00000110395	ENSG00000141968
ENSG00000124181	ENSG00000141968
ENSG00000113494	ENSG00000141968
ENSG00000105397	ENSG00000141968
ENSG00000100030	ENSG00000141968
ENSG00000010671	ENSG00000141968
ENSG00000106799	ENSG00000026508
ENSG00000165025	ENSG00000141968
ENSG00000107338	ENSG00000141968
ENSG00000065675	ENSG00000141968
ENSG00000135605	ENSG00000141968
ENSG00000134352	ENSG00000141968
ENSG00000165119	ENSG00000141968
ENSG00000155926	ENSG00000141968
ENSG00000120899	ENSG00000141968
ENSG00000106462	ENSG00000141968
ENSG00000043462	ENSG00000141968
ENSG00000285443	ENSG00000141968
ENSG00000087266	ENSG00000141968
ENSG00000181788	ENSG00000141968
ENSG00000213658	ENSG00000141968
ENSG00000111348	ENSG00000141968
ENSG00000185338	ENSG00000141968
ENSG00000114423	ENSG00000141968
ENSG00000095585	ENSG00000141968
ENSG00000160293	ENSG00000026508
ENSG00000161800	ENSG00000141968
ENSG00000134516	ENSG00000141968
ENSG00000261371	ENSG00000176105
ENSG00000135218	ENSG00000176105
ENSG00000147403	ENSG00000176105
ENSG00000178568	ENSG00000026508
ENSG00000161270	ENSG00000176105
ENSG00000197822	ENSG00000176105
ENSG00000111199	ENSG00000176105
ENSG00000277439	ENSG00000176105
ENSG00000156299	ENSG00000026508
ENSG00000185591	ENSG00000162924
ENSG00000120690	ENSG00000162924
ENSG00000186416	ENSG00000162924
ENSG00000112592	ENSG00000162924
ENSG00000107643	ENSG00000162924
ENSG00000149923	ENSG00000162924
ENSG00000113569	ENSG00000157077
ENSG00000129103	ENSG00000157077
ENSG00000157557	ENSG00000157077
ENSG00000109971	ENSG00000162924
ENSG00000137947	ENSG00000162924
ENSG00000076928	ENSG00000026508
ENSG00000254087	ENSG00000157404
ENSG00000145675	ENSG00000157404
ENSG00000124181	ENSG00000157404
ENSG00000179295	ENSG00000157404
ENSG00000186575	ENSG00000026508
ENSG00000111679	ENSG00000157404
ENSG00000049130	ENSG00000157404
ENSG00000197122	ENSG00000157404
ENSG00000007264	ENSG00000157404
ENSG00000157404	ENSG00000115415
ENSG00000151490	ENSG00000157404
ENSG00000135605	ENSG00000157404
ENSG00000141738	ENSG00000157404
ENSG00000106070	ENSG00000157404
ENSG00000203747	ENSG00000004468
ENSG00000099942	ENSG00000157404
ENSG00000115325	ENSG00000157404
ENSG00000105647	ENSG00000157404
ENSG00000185338	ENSG00000157404
ENSG00000154016	ENSG00000157404
ENSG00000100351	ENSG00000157404
ENSG00000111252	ENSG00000157404
ENSG00000110651	ENSG00000157404
ENSG00000107186	ENSG00000157404
ENSG00000182866	ENSG00000004468
ENSG00000035720	ENSG00000157404
ENSG00000110395	ENSG00000000938
ENSG00000015285	ENSG00000000938
ENSG00000272398	ENSG00000000938
ENSG00000165025	ENSG00000000938
ENSG00000169398	ENSG00000000938
ENSG00000153071	ENSG00000000938
ENSG00000183625	ENSG00000000938
ENSG00000000938	ENSG00000180353
ENSG00000117090	ENSG00000000938
ENSG00000117395	ENSG00000186895
ENSG00000283780	ENSG00000223355
ENSG00000131196	ENSG00000137193
ENSG00000197157	ENSG00000137193
ENSG00000122565	ENSG00000137193
ENSG00000108468	ENSG00000137193
ENSG00000113600	ENSG00000085063
ENSG00000157240	ENSG00000114251
ENSG00000057608	ENSG00000167461
ENSG00000123240	ENSG00000167461
ENSG00000168067	ENSG00000167461
ENSG00000262334	ENSG00000167461
ENSG00000157131	ENSG00000085063
ENSG00000102362	ENSG00000167461
ENSG00000176406	ENSG00000167461
ENSG00000089169	ENSG00000167461
ENSG00000128052	ENSG00000102755
ENSG00000112715	ENSG00000102755
ENSG00000119630	ENSG00000102755
ENSG00000173511	ENSG00000102755
ENSG00000143379	ENSG00000157554
ENSG00000078061	ENSG00000126458
ENSG00000158092	ENSG00000126458
ENSG00000160271	ENSG00000126458
ENSG00000266094	ENSG00000126458
ENSG00000134352	ENSG00000099985
ENSG00000145623	ENSG00000099985
ENSG00000110395	ENSG00000254087
ENSG00000261371	ENSG00000254087
ENSG00000135218	ENSG00000254087
ENSG00000111679	ENSG00000254087
ENSG00000105397	ENSG00000254087
ENSG00000254087	ENSG00000010671
ENSG00000125868	ENSG00000184009
ENSG00000272398	ENSG00000254087
ENSG00000254087	ENSG00000165025
ENSG00000065989	ENSG00000254087
ENSG00000254087	ENSG00000197943
ENSG00000160691	ENSG00000254087
ENSG00000165119	ENSG00000254087
ENSG00000169398	ENSG00000254087
ENSG00000253729	ENSG00000254087
ENSG00000120899	ENSG00000254087
ENSG00000105851	ENSG00000254087
ENSG00000254087	ENSG00000180353
ENSG00000043462	ENSG00000254087
ENSG00000102882	ENSG00000254087
ENSG00000121774	ENSG00000254087
ENSG00000158062	ENSG00000157077
ENSG00000189430	ENSG00000085063
ENSG00000050820	ENSG00000254087
ENSG00000109103	ENSG00000254087
ENSG00000163519	ENSG00000254087
ENSG00000141293	ENSG00000254087
ENSG00000005020	ENSG00000254087
ENSG00000254087	ENSG00000111199
ENSG00000237808	ENSG00000085063
ENSG00000033327	ENSG00000254087
ENSG00000133246	ENSG00000254087
ENSG00000160219	ENSG00000254087
ENSG00000087074	ENSG00000254087
ENSG00000281614	ENSG00000254087
ENSG00000142273	ENSG00000254087
ENSG00000153064	ENSG00000254087
ENSG00000277439	ENSG00000254087
ENSG00000196405	ENSG00000254087
ENSG00000111859	ENSG00000254087
ENSG00000066336	ENSG00000177606
ENSG00000064835	ENSG00000177606
ENSG00000139687	ENSG00000177606
ENSG00000136931	ENSG00000177606
ENSG00000110448	ENSG00000137101
ENSG00000001167	ENSG00000177606
ENSG00000185591	ENSG00000177606
ENSG00000188342	ENSG00000177606
ENSG00000097007	ENSG00000177606
ENSG00000140416	ENSG00000177606
ENSG00000172534	ENSG00000177606
ENSG00000147133	ENSG00000177606
ENSG00000169083	ENSG00000177606
ENSG00000112592	ENSG00000177606
ENSG00000005339	ENSG00000177606
ENSG00000111679	ENSG00000137101
ENSG00000124813	ENSG00000177606
ENSG00000115415	ENSG00000177606
