Gene_Name	Term_ID	DB
A1BG	2072	GO
A1BG	6679	GO
A1CF	5377	GO
A1CF	11012	GO
A1CF	9030	GO
A1CF	11014	GO
A1CF	11423	GO
A2M	1381	GO
A2M	28199	GO
A2M	17068	GO
A2M	13996	GO
A2M	27122	GO
A2M	2072	GO
A2M	6490	GO
A2M	8893	GO
A2M	9374	GO
A4GALT	5454	GO
A4GALT	1108	GO
A4GALT	5653	GO
A4GALT	5948	GO
A4GALT	5597	GO
AACS	1088	GO
AACS	5600	GO
AACS	7776	GO
AACS	18146	GO
AACS	30693	GO
AACS	8677	GO
AACS	28031	GO
AACS	33272	GO
AACS	23999	GO
AACS	16010	GO
AACS	6476	GO
AACS	25361	GO
AACS	21427	GO
AACS	33269	GO
AACS	33208	GO
AACS	1401	GO
AACS	9499	GO
AACS	5597	GO
AACS	9503	GO
AADAT	12897	GO
AADAT	5507	GO
AADAT	5540	GO
AADAT	5095	GO
AADAT	7531	GO
AADAT	17455	GO
AADAT	32082	GO
AADAT	36084	GO
AADAT	5525	GO
AAGAB	9696	GO
AAGAB	5768	GO
AAK1	5856	GO
AAK1	25220	GO
AAK1	45097	GO
AAK1	24267	GO
AAK1	10837	GO
AAK1	16823	GO
AAK1	5436	GO
AAK1	11423	GO
AAMP	14277	GO
AAMP	6183	GO
AAMP	9016	GO
AAMP	9656	GO
AAMP	1052	GO
AANAT	28672	GO
AANAT	28673	GO
AANAT	18624	GO
AANAT	5441	GO
AANAT	8100	GO
AANAT	7876	GO
AANAT	14308	GO
AANAT	16811	GO
AANAT	24716	GO
AANAT	33195	GO
AANAT	23694	GO
AANAT	26800	GO
AANAT	6517	GO
AANAT	18043	GO
AANAT	8474	GO
AANAT	9499	GO
AANAT	28506	GO
AARS	5380	GO
AARS	21831	GO
AARS	28040	GO
AARS	13608	GO
AARS	1449	GO
AARS	6570	GO
AARS	15018	GO
AARS	5391	GO
AARS	5423	GO
AARS	22321	GO
AARS	21969	GO
AARS	22255	GO
AARS	5396	GO
AARS	5397	GO
AARS	18551	GO
AARS	2968	GO
AARS	28059	GO
AARS2	32035	GO
AARS2	5380	GO
AARS2	21831	GO
AARS2	5391	GO
AARS2	5397	GO
AARS2	17049	GO
AASDHPPT	10520	GO
AASDHPPT	5601	GO
AASDHPPT	13303	GO
AASS	1088	GO
